ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score
회사채/NNG,33985,38789,72774,0.00534537727495073,0.007659971440741711,0.6978325332284973
물가/NNG,45920,26057,71977,0.007222590097564735,0.005145682431395673,1.4036214231754949
국고채/NNG,33980,37405,71385,0.005344590843102128,0.0073866619851231975,0.7235461503269245
인상/NNG,29672,17407,47079,0.004667001162346272,0.0034374983337799626,1.3576737234994718
오르/VV,23372,14016,37388,0.003676097033107208,0.002767850671928532,1.328141387969404
인플레이션/NNG,19160,10729,29889,0.0030136068438445193,0.002118740714834562,1.4223575460387712
부동산/NNG,13804,8352,22156,0.002171181047621594,0.0016493356743683717,1.3163973115739873
크레딧/NNG,10395,11367,21762,0.001634991813244456,0.0022447316344043683,0.7283684999068031
통안채/NNG,9702,11492,21194,0.001525992359028159,0.002269416375699393,0.6724162103386057
등급/NNG,9737,11239,20976,0.001531497381968376,0.0022194544593182627,0.6900332536846903
순매수/NNG,10018,10523,20541,0.0015756948518598328,0.0020780602611803613,0.7582527231259505
채권시장/NNG,9748,10238,19986,0.0015332275320353013,0.0020217790510277047,0.7583556330034855
은행채/NNG,9403,10170,19573,0.0014789637344817335,0.0020083505517632114,0.7364071641692691
여전채/NNG,8915,9721,18636,0.0014022079860581361,0.0019196829610314825,0.7304372724674822
상승률/NNG,11455,6777,18232,0.0018017153651481716,0.0013383079340510602,1.346263680657094
소비/NNG,10817,6178,16995,0.0017013666612665014,0.0012200186537653019,1.3945415146035935
민평/NNG,7235,8393,15628,0.001137966884927719,0.0016574322695131398,0.6865842459203413
사업/NNG,10396,5189,15585,0.0016351490996141765,0.0010247129806390661,1.5957142443871546
신용등급/NNG,7001,7780,14781,0.0011011618744131253,0.0015363782982023386,0.7167257411156845
고용/NNG,6723,7402,14125,0.00105743626363083,0.001461731640526184,0.7234134052473418
전략/NNG,8764,5237,14001,0.0013784577442303428,0.0010341919212963557,1.3328838833922152
특수채/NNG,6164,7564,13728,0.0009695131829570782,0.0014937230652445359,0.6490581858949604
주택/NNG,8651,4950,13601,0.0013606843844519278,0.000977515755282979,1.3919820494944617
신용스프레드/NNG,6273,7197,13470,0.0009866573972566112,0.0014212486648023433,0.6942186977490165
gdp/NNG,6383,7031,13414,0.0010039588979258646,0.0013884673283625505,0.7230698752630031
유동성/NNG,6366,6909,13275,0.0010012850296406163,0.0013643750208586064,0.7338781598409093
유가/NNG,8199,4684,12883,0.001289590945338268,0.0009249866258071663,1.3941725311032889
설명/NNG,7959,4853,12812,0.0012518422166053512,0.0009583603960380398,1.3062332518962547
하향/NNG,6008,6435,12443,0.0009449765092806822,0.0012707704818678727,0.7436248502496577
긴축/NNG,7830,4210,12040,0.0012315522749114084,0.0008313820868164326,1.4813312608494205
원달러/NNG,7882,4022,11904,0.0012397311661368738,0.0007942562359087154,1.560870547926497
수요예측/NNG,5690,6153,11843,0.0008949594437095675,0.0012150817055062968,0.7365426042166098
매출/NNG,7845,3947,11792,0.0012339115704572158,0.0007794453911317006,1.5830635276009033
계획/NNG,6958,3914,10872,0.0010943985605151444,0.0007729286194298141,1.4159115512147515
고금리/NNG,7436,3364,10800,0.0011695814452415368,0.0006643157577317052,1.760580614909772
신흥국/NNG,4649,6044,10693,0.0007312243328305413,0.0011935566110970353,0.6126431926496139
순발행/NNG,4880,5561,10441,0.0007675574842359736,0.0010981747707330598,0.6989392806061364
유로/NNG,4546,5197,9743,0.0007150238367493311,0.0010262928040819478,0.696705495649405
배포/NNG,4184,5517,9701,0.000658086170910515,0.0010894857417972112,0.6040337616763473
나서/VV,5798,3507,9305,0.0009119463716393801,0.0006925551017732135,1.3167852916027023
현황/NNG,4174,4725,8899,0.0006565133072133102,0.0009330832209519345,0.7035956627143432
자본/NNG,4174,4411,8585,0.0006565133072133102,0.0008710751508188324,0.7536815929098325
종합/NNG,3409,4806,8215,0.0005361892343771381,0.0009490789333111105,0.5649574714576179
부정적/VAX,3994,4170,8164,0.0006282017606636227,0.0008234829696020247,0.7628594444001944
