ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score,polarity
물가/NNG,45581,25960,71541,0.0072356467316643,0.0051715207777202,1.3991332613100436,Hawkish
인상/NNG,29637,17377,47014,0.0047046546189494,0.0034616917008645,1.359062280957739,Hawkish
오르/VV,23371,14013,37384,0.0037099734487116,0.0027915454798995,1.329003405255331,Hawkish
인플레이션/NNG,18934,10620,29554,0.0030056325051519,0.00211562213634,1.4206849387346483,Hawkish
부동산/NNG,13730,8329,22059,0.0021795359826627,0.0016592294513725,1.3135832303722608,Hawkish
상승률/NNG,11370,6706,18076,0.0018049034321103,0.001335909797203,1.3510668429030332,Hawkish
소비/NNG,10660,6116,16776,0.0016921961817323,0.001218375234073,1.3888957477207369,Hawkish
사업/NNG,10395,5188,15583,0.0016501293910982,0.0010335073110482,1.5966305931833418,Hawkish
전략/NNG,8763,5236,13999,0.0013910614578349,0.0010430694449978,1.3336230531015796,Hawkish
주택/NNG,8629,4926,13555,0.0013697899486086,0.0009813139965735,1.3958732407685337,Hawkish
유가/NNG,8171,4672,12843,0.0012970858349845,0.0009307143710904,1.3936454354570418,Hawkish
설명/NNG,7958,4852,12810,0.0012632736598711,0.0009665723734013,1.306962307877367,Hawkish
긴축/NNG,7790,4190,11980,0.0012366049020351,0.0008346946093469,1.4815057964764138,Hawkish
원달러/NNG,7840,4015,11855,0.0012445420323434,0.0007998326626558,1.5560030121937345,Hawkish
매출/NNG,7587,3837,11424,0.0012043801529834,0.0007643730825929,1.5756443815340615,Hawkish
계획/NNG,6957,3913,10870,0.0011043723110986,0.000779513128013,1.4167462630342835,Hawkish
고금리/NNG,7300,3317,10617,0.0011588210250137,0.0006607832981393,1.7537081041193274,Hawkish
나서/VV,5797,3506,9303,0.0009202308879458,0.0006984342005657,1.3175627527981777,Hawkish
관계자/NNG,5346,2737,8083,0.0008486379725648,0.0005452408462488,1.5564460703985927,Hawkish
추진/NNG,4540,2753,7293,0.0007206914319948,0.000548428224232,1.3141034690619793,Hawkish
업계/NNG,4495,2358,6853,0.0007135480147173,0.0004697398302721,1.519028127344413,Hawkish
수입/NNG,4236,2401,6637,0.0006724336797202,0.0004783059086019,1.4058653000665873,Hawkish
함께/MAG,4150,2094,6244,0.0006587818155899,0.0004171480935495,1.5792516513364867,Hawkish
영업이익/NNG,4012,2206,6218,0.000636875335939,0.0004394597394318,1.4492233958960992,Hawkish
모두/MAG,3871,2344,6215,0.0006144926284695,0.0004669508745368,1.3159684711568624,Hawkish
경로/NNG,3688,2246,5934,0.0005854427315411,0.0004474281843898,1.3084618983928644,Hawkish
중립/NNG,4016,1894,5910,0.0006375103063637,0.0003773058687597,1.6896379281333305,Hawkish
다양/NNG,3649,2166,5815,0.0005792517699006,0.0004314912944738,1.342441382524225,Hawkish
지연/NNG,3552,1965,5517,0.0005638537371025,0.0003914498585601,1.4404239132353338,Hawkish
계속/MAG,3387,2072,5459,0.0005376612070851,0.0004127654488226,1.3025828799835524,Hawkish
여전히/MAG,3292,2000,5292,0.0005225806594993,0.0003984222478983,1.3116251972773738,Hawkish
많이/MAG,3331,1915,5246,0.0005287716211398,0.0003814893023626,1.386071949763786,Hawkish
지정학/NNG,3646,1592,5238,0.0005787755420821,0.000317144109327,1.8249607199398057,Hawkish
연체율/NNG,3227,1939,5166,0.0005122623900985,0.0003862703693374,1.3261757327573889,Hawkish
저축은행/NNG,3570,1519,5089,0.0005667111040135,0.0003026016972787,1.8727955233227331,Hawkish
